hName,hGender,hClass,hOccupaton,hLocale,svName,svEthnicity,svGender,svAge,svActive,bName,bGender,bClass,bOccupation,bLocale,term,pL,pD,pF,pS,nurse,p/Yr,Year,actDate
Benigno de Cassina,male,mercantes,,Albisola,Maria,Moorish,female,26,,Mariola Prezenda,female,artefices,,,10,120,,,,,12,1499,1499
Cipriano Lomellini,male,nobiles,,,Caterina,Moorish,female,,,Ginevrina Spinola,female,nobiles,,,10,120,,,,,12,1495,1495
Cipriano Lomellini,male,nobiles,,,Caterina,Moorish,female,34,,Ginevrina Spinola,female,nobiles,,,10,120,,,,,12,1491,1491
Cosmo Goffredis,male,foreign,,Nice,Caterina,Circassian,female,31,,Bartolomeo Raggi,male,artefices,bancherius,,2,24,,,,,12,1449,1449-09-17
Isabella di Negro,female,nobiles,,,Margarita,Tartaran,female,22,,Tommaso Naste,male,artefices,notarius,,2,24,,,,y,12,,1371-10-31
Martino Assereto,male,nobiles,,,Maddalena,Bosnian,female,25,,Stefano Spinola,male,nobiles,,,1,12,,,,,12,1497,1497
Teramo Centurione,male,nobiles,,,Micaela,Russian,female,16,,Paolo de Puteobonelo,male,artefices,,Savona,6,72,,,,,12,1474,1474-09-20
Terruccio de Terrucio,male,artefices,,,Maria,Russian,female,20,,Antonio de Varcio,male,artefices,barberius,,3,36,,,,,12,1454,1454-02-17
Tommaso Grimaldi,male,nobiles,,,Caterina,Russian,female,23,,Lorenzo Cacia,male,artefices,,Valle Cuneo,10,120,,,,,12,1474,1474-09-20
Anfreone Usodimare,male,nobiles,,,Maddalena,Albanian,female,40,,Stefano Cicala,male,nobiles,,,9,110,,,,,12.22,1490,1490
Battista Cibo,male,nobiles,,,Elena,Hungarian,female,,,Leonardo di Negro,male,nobiles,,,3,37,,,,,12.3,1472,1472-05-01
Bartolomeo de Poneta,male,artefices,cordoanerius,,Maddalena,Russian,female,25,,Cristoforo Panigarola,male,nobiles,,,8,100,,,,,12.5,1444,1444
Girolamo Calvi,male,artefices,draperius,,Caterina,Russian,female,18,,Paolo de Promontorio,male,mercantes,,,2,25,,,,,12.5,1459,1459-08-06
Mariola de Turrilia,female,artefices,,,Maddalena,Circassian,female,28,,Despina Centurione,female,nobiles,,,12,150,,,,,12.5,1473,1473-10-09
Matteo de Davania,male,artefices,,,Maria,Russian,female,30,,Battista Costa,male,artefices,,,8,100,,,,,12.5,1449,1449
Ottobono Lomellini,male,nobiles,,,Maria,Bosnian,female,30,,Girolamo de Canali,male,artefices,seatarius,,12,150,,,,,12.5,1497,1497
Pellegro Tarigo,male,mercantes,,,Elena,Albanian,female,40,,Nicolosia de Dernixio,female,artefices,,,8,100,,,,,12.5,1493,1493-01-20
Pietro Bordino,male,mercantes,,,Caterina,,female,45,,Giorgio Grimaldi,male,nobiles,,,8,100,,,,,12.5,1488,1488
Antonio de Carretto,male,nobiles,,,Maddalena,Russian,female,25,,Bartolomeo de Liguoris,male,,,,7,90,,,,,12.86,1453,1453-12-14
Giovanni de Clavaro,male,artefices,notarius,Chiavari,Maddalena,Russian,female,26,,Antonio Carrega,male,artefices,,,11,150,,,,,13.64,1470,1470
Giacomo Celesia,male,nobiles,,,Clara,Tartaran,female,36,,Pietro de Garrono,male,artefices,cultelerius,,2,29,,,,,14.5,1420,1420
Antonio de Strupa,male,mercantes,,Struppa,Anna,Circassian,female,35,,Antonio Ittaliano,male,nobiles,,,5,75,,,,y,15,1417,1417
Bartolomeo de Passano,male,nobiles,,,Novella,Hungarian,female,25,,Lodisio Manuele,male,foreign,mercator,Catalonia,2,30,,,,,15,1450,1450-05-08
Giacomo de Palodio,male,artefices,,,Simona,Circassian,female,26,,Ambrogio Giustiniani,male,mercantes,,,3,50,,,,y,16.66,1422,1422-04-23
Giacomo Maruffo,male,mercantes,,,Anastasia,,female,28,,Battista Centurione,male,nobiles,,,3,50,,,,y,16.66,1456,1456-05-21
