cidoc-crm:P143_joined,targetID,edgeHusband,omeka-SRCID,cidoc-crm:P149_is_identified_by,targetName
23512,31ab23bc-9793-4277-8aae-6e138a932e23,—marriedTo—>,24578,f5dbbb05-b04b-474a-bd60-cf5508227726,
24329,3219f00e-b96e-4210-99a0-50f2ae47a313,—marriedTo—>,25407,08247da3-5311-4bd0-9d9a-9be30b6ffd19,
25711,3336bbc0-66d2-4488-99a7-96ea95ce57c9,—marriedTo—>,25312,54343ed0-11a3-42c3-83cc-71e2478bae5c,
24599,333c7e82-ded8-4e17-ba87-455804430f3a,—marriedTo—>,24086,dbfaa35d-504e-4d21-9fbe-95b57dde5b13,
24484,33948222-443e-4147-967b-887c28b0939d,—marriedTo—>,23412,7c8c729b-e33e-4216-885a-9c172fd4d8b6,
24892,353b8a1f-6014-41e4-8b64-352258d49469,—marriedTo—>,23856,8dd82080-f98f-49f6-8a0f-3b21bc842281,
24892,353b8a1f-6014-41e4-8b64-352258d49469,—marriedTo—>,23377,c5ba68d7-5619-4111-9151-88e280ae6f79,
24409,35590e24-6450-4bcd-ab10-e38d62277bec,—marriedTo—>,23218,6e7cce69-468e-4cb5-9b12-999ca9c9de22,
24409,35590e24-6450-4bcd-ab10-e38d62277bec,—marriedTo—>,23704,b20761a6-e68c-4a3a-9a26-d2c9a29e3fd8,
23649,36171446-8093-44cc-a589-27de759c2dd6,—marriedTo—>,24065,a2ce3ce8-0ec1-49a9-9d66-f0a753a5fa6b,
24287,366bfd75-4e96-4e0d-ad01-c80f928c2e0b,—marriedTo—>,24155,c08335fe-9227-4fb5-874a-a8e43795e0a4,
23615,36d25913-2ba9-4e97-b83b-7306473b84f3,—marriedTo—>,25212,2310c609-c2a3-4c73-bd51-aea763f1966b,
25396,36f38f1c-5035-48b0-9b22-c1fa555822c2,—marriedTo—>,25038,873033e0-2e6c-4ac1-af54-3f17a798e993,
24864,3709e0bf-b2f6-4ed1-8716-fbd3f4ac0d2c,—marriedTo—>,23660,f47e78b1-fccd-41cb-9ef0-4307a5cefbae,
24864,3709e0bf-b2f6-4ed1-8716-fbd3f4ac0d2c,—marriedTo—>,23285,5c5b9487-4c9f-4ba6-ac34-dbc80c84c1a9,
23974,37b58897-1c03-46f9-9ef9-246e09b8cef2,—marriedTo—>,23818,dadc983a-ee66-4b7c-a5aa-9cbf9379d551,
23974,37b58897-1c03-46f9-9ef9-246e09b8cef2,—marriedTo—>,25286,f85db74b-9d9c-4766-9691-a27de077a5c3,
23974,37b58897-1c03-46f9-9ef9-246e09b8cef2,—marriedTo—>,23367,f8ba15d1-1bf7-4d4b-a6b8-678f61d828b4,
25628,37be9914-b186-4ac8-8100-d2e8ee820392,—marriedTo—>,24586,4364d55b-99d6-4b5b-a9d7-f1dd97f4cd4c,
23178,37e8fbc5-bdf3-4c0b-8bad-f7eafb4763df,—marriedTo—>,25495,9b8f1d38-0c49-4b67-b1c6-f11c72ded7cd,
24434,37f1c1ed-2524-468d-9a40-56578e035e02,—marriedTo—>,25384,030b42d1-3b50-4830-94da-5d146ba85eed,
23851,37fc4af8-2228-4c15-816a-0df080425250,—marriedTo—>,23988,08bf3d64-1895-4d7e-9fa0-2267e69fcb34,
24205,383f1a9d-bcc6-4568-bcfb-cd6f2285e9f6,—marriedTo—>,23070,29a91ac5-2592-4711-b342-d23823c0ecbf,
25802,386c1e02-d10b-47ff-ac30-ea8e9fb6869d,—marriedTo—>,24444,c5445d45-4ec5-4aca-968d-351bc002e887,
23123,39947a34-30a1-442a-a91a-2804bfc2c34c,—marriedTo—>,24786,8896ddba-292f-45d5-930f-1a9a422e69b5,
25231,3a52accc-8afb-4924-91c9-2df3c4940873,—marriedTo—>,22995,99325117-67ee-45e1-8dca-8e8bcc8ea219,
23130,3a563154-1803-4715-924c-ef9900a820d3,—marriedTo—>,24588,1e45cc85-b3bd-48ad-8436-7beb2c507c74,
23325,3a6a403a-836a-497e-8d68-208472db9b6f,—marriedTo—>,23771,2a065cd3-ae05-4c9d-82bf-05efd13e28f4,
25202,3a860bce-7a1b-4877-9895-00a02a2cb8c7,—marriedTo—>,23042,f447cf9f-24c6-410f-9b9f-0b65661e0af8,
24435,3b0f103c-0a17-47a6-aa99-a023c510c1b3,—marriedTo—>,23995,e003adcc-f5af-4239-8855-4b0d39bd2b62,
